"sample","amr","test","result"
"S07452-95","AMP","diskc","TP"
"S07452-95","CHL","diskc","TP"
"S07452-95","GEN","diskc","TN"
"S07452-95","NAL","diskc","TN"
"S07452-95","SMX","diskc","TP"
"S07452-95","STR","diskc","FP"
"S07452-95","SXT","diskc","TN"
"S07487-96","AMP","diskc","TN"
"S07487-96","CHL","diskc","TN"
"S07487-96","GEN","diskc","TN"
"S07487-96","NAL","diskc","TN"
"S07487-96","SMX","diskc","TN"
"S07487-96","STR","diskc","TN"
"S07487-96","SXT","diskc","TN"
"S07497-96","AMP","diskc","TN"
"S07497-96","CHL","diskc","TN"
"S07497-96","GEN","diskc","TN"
"S07497-96","NAL","diskc","TP"
"S07497-96","SMX","diskc","TP"
"S07497-96","STR","diskc","FP"
"S07497-96","SXT","diskc","TN"
"S07591-95","AMP","diskc","TP"
"S07591-95","CHL","diskc","TP"
"S07591-95","GEN","diskc","TN"
"S07591-95","NAL","diskc","TN"
"S07591-95","SMX","diskc","TP"
"S07591-95","STR","diskc","FP"
"S07591-95","SXT","diskc","TN"
"S07623-03","AMP","diskc","TP"
"S07623-03","CHL","diskc","TP"
"S07623-03","GEN","diskc","TN"
"S07623-03","NAL","diskc","TP"
"S07623-03","SMX","diskc","TP"
"S07623-03","STR","diskc","FP"
"S07623-03","SXT","diskc","TN"
"S07625-03","AMP","diskc","TP"
"S07625-03","CHL","diskc","TP"
"S07625-03","GEN","diskc","TN"
"S07625-03","NAL","diskc","TP"
"S07625-03","SMX","diskc","TP"
"S07625-03","STR","diskc","FP"
"S07625-03","SXT","diskc","TN"
"S07896-03","AMP","diskc","TP"
"S07896-03","CHL","diskc","TP"
"S07896-03","GEN","diskc","TN"
"S07896-03","NAL","diskc","TN"
"S07896-03","SMX","diskc","TP"
"S07896-03","STR","diskc","FP"
"S07896-03","SXT","diskc","TN"
"S08411-93","AMP","diskc","TP"
"S08411-93","CHL","diskc","TP"
"S08411-93","GEN","diskc","TN"
"S08411-93","NAL","diskc","TN"
"S08411-93","SMX","diskc","TP"
"S08411-93","STR","diskc","FP"
"S08411-93","SXT","diskc","TN"
"S08457-97","AMP","diskc","TN"
"S08457-97","CHL","diskc","TN"
"S08457-97","GEN","diskc","TN"
"S08457-97","NAL","diskc","TN"
"S08457-97","SMX","diskc","TN"
"S08457-97","STR","diskc","TN"
"S08457-97","SXT","diskc","TN"
"S08761-96","AMP","diskc","TN"
"S08761-96","CHL","diskc","TN"
"S08761-96","GEN","diskc","TN"
"S08761-96","NAL","diskc","TN"
"S08761-96","SMX","diskc","TN"
"S08761-96","STR","diskc","TN"
"S08761-96","SXT","diskc","TN"
"S08887-98","AMP","diskc","TP"
"S08887-98","CHL","diskc","TN"
"S08887-98","GEN","diskc","TN"
"S08887-98","NAL","diskc","TP"
"S08887-98","SMX","diskc","TN"
"S08887-98","STR","diskc","TN"
"S08887-98","SXT","diskc","TN"
"S09137-97","AMP","diskc","TP"
"S09137-97","CHL","diskc","TP"
"S09137-97","GEN","diskc","TN"
"S09137-97","NAL","diskc","TN"
"S09137-97","SMX","diskc","TP"
"S09137-97","STR","diskc","FP"
"S09137-97","SXT","diskc","TN"
"S09202-95","AMP","diskc","TN"
"S09202-95","CHL","diskc","TN"
"S09202-95","GEN","diskc","TN"
"S09202-95","NAL","diskc","TN"
"S09202-95","SMX","diskc","TP"
"S09202-95","STR","diskc","TP"
"S09202-95","SXT","diskc","TP"
"S09211-02","AMP","diskc","TP"
"S09211-02","CHL","diskc","TP"
"S09211-02","GEN","diskc","TN"
"S09211-02","NAL","diskc","TN"
"S09211-02","SMX","diskc","TP"
"S09211-02","STR","diskc","FP"
"S09211-02","SXT","diskc","TN"
"S09281-99","AMP","diskc","TP"
"S09281-99","CHL","diskc","TP"
"S09281-99","GEN","diskc","TN"
"S09281-99","NAL","diskc","TP"
"S09281-99","SMX","diskc","TP"
"S09281-99","STR","diskc","FP"
"S09281-99","SXT","diskc","TN"
"S10023-95","AMP","diskc","TN"
"S10023-95","CHL","diskc","TN"
"S10023-95","GEN","diskc","TN"
"S10023-95","NAL","diskc","TP"
"S10023-95","SMX","diskc","TN"
"S10023-95","STR","diskc","TN"
"S10023-95","SXT","diskc","TN"
"S10423-92","AMP","diskc","TP"
"S10423-92","CHL","diskc","FP"
"S10423-92","GEN","diskc","TN"
"S10423-92","NAL","diskc","TN"
"S10423-92","SMX","diskc","TP"
"S10423-92","STR","diskc","TP"
"S10423-92","SXT","diskc","TP"
"S10543-93","AMP","diskc","TP"
"S10543-93","CHL","diskc","TP"
"S10543-93","GEN","diskc","TP"
"S10543-93","NAL","diskc","TN"
"S10543-93","SMX","diskc","TP"
"S10543-93","STR","diskc","TP"
"S10543-93","SXT","diskc","TP"
"S10905-92","AMP","diskc","TP"
"S10905-92","CHL","diskc","TP"
"S10905-92","GEN","diskc","TN"
"S10905-92","NAL","diskc","TN"
"S10905-92","SMX","diskc","TP"
"S10905-92","STR","diskc","FP"
"S10905-92","SXT","diskc","TN"
"S11013-96","AMP","diskc","TN"
"S11013-96","CHL","diskc","TN"
"S11013-96","GEN","diskc","TN"
"S11013-96","NAL","diskc","TN"
"S11013-96","SMX","diskc","TP"
"S11013-96","STR","diskc","FP"
"S11013-96","SXT","diskc","TN"
"S12144-92","AMP","diskc","TN"
"S12144-92","CHL","diskc","TN"
"S12144-92","GEN","diskc","TN"
"S12144-92","NAL","diskc","TN"
"S12144-92","SMX","diskc","TN"
"S12144-92","STR","diskc","TN"
"S12144-92","SXT","diskc","TN"
"L00005-10","AMP","agarc","TP"
"L00005-10","CHL","agarc","TP"
"L00005-10","GEN","agarc","TN"
"L00005-10","NAL","agarc","TN"
"L00005-10","SMX","agarc","TP"
"L00005-10","STR","agarc","TN"
"L00005-10","SXT","agarc","TP"
"L00427-10","AMP","agarc","TP"
"L00427-10","CHL","agarc","TN"
"L00427-10","GEN","agarc","TN"
"L00427-10","NAL","agarc","TN"
"L00427-10","SMX","agarc","TP"
"L00427-10","STR","agarc","TN"
"L00427-10","SXT","agarc","FN"
"L00461-07","AMP","agarc","TP"
"L00461-07","CHL","agarc","TP"
"L00461-07","GEN","agarc","TN"
"L00461-07","NAL","agarc","TP"
"L00461-07","SMX","agarc","TP"
"L00461-07","STR","agarc","TN"
"L00461-07","SXT","agarc","TN"
"L00738-11","AMP","agarc","TN"
"L00738-11","CHL","agarc","TN"
"L00738-11","GEN","agarc","TN"
"L00738-11","NAL","agarc","TP"
